COUNTY,CATEGORY,VARIABLE,2020,2021,2025,2030,2035,2040,2045,2050
Pickaway,Population,Population - Confidence Limit (upper),,,66029,77450,91360,107272,124906,144076
Ross,Population,Population - Confidence Limit (upper),,,79695,85847,94070,103952,115258,127833
Union,Population,Population - Confidence Limit (upper),,,69664,80350,92220,105075,118792,133284
15-County Region,Population by Age,Population Ages 18 - 64,1507157.0,1512484.0,1557967,1608625,1696702,1774942,1850655,1916531
10-County Region,Population by Age,Population Ages 18 - 64,1378422.0,1383783.0,1431994,1484546,1572708,1649937,1724391,1788840
Delaware,Population by Age,Population Ages 18 - 64,129537.0,132452.0,147623,162958,179944,195085,210691,226432
Fairfield,Population by Age,Population Ages 18 - 64,95575.0,96598.0,99312,102543,108078,114186,120539,126510
Fayette,Population by Age,Population Ages 18 - 64,16976.0,16948.0,16999,17272,17603,17905,18289,18699
Franklin,Population by Age,Population Ages 18 - 64,846386.0,844704.0,871039,897086,945272,985153,1022277,1051047
Hocking,Population by Age,Population Ages 18 - 64,16420.0,16481.0,15903,15291,15073,14936,14975,15040
Knox,Population by Age,Population Ages 18 - 64,35971.0,36048.0,35389,35251,35892,36799,37802,38702
Licking,Population by Age,Population Ages 18 - 64,106797.0,107825.0,111273,114735,123803,130275,135753,140179
Logan,Population by Age,Population Ages 18 - 64,26898.0,26883.0,26159,25765,25825,26082,26530,27062
Madison,Population by Age,Population Ages 18 - 64,27804.0,28164.0,28927,29783,31056,32561,34078,35517
Marion,Population by Age,Population Ages 18 - 64,39419.0,39321.0,38144,37481,38061,38725,39032,39029
Morrow,Population by Age,Population Ages 18 - 64,20820.0,20928.0,21202,21385,21937,22481,23148,23961
Perry,Population by Age,Population Ages 18 - 64,21118.0,21121.0,21180,21008,21171,21557,21997,22374
Pickaway,Population by Age,Population Ages 18 - 64,36487.0,36927.0,38391,40177,42345,44691,46825,48981
Ross,Population by Age,Population Ages 18 - 64,47323.0,47268.0,45732,44743,44322,44525,44473,44516
Union,Population by Age,Population Ages 18 - 64,39626.0,40816.0,40694,43147,46320,49981,54246,58482
15-County Region,Population by Age,Population Ages 65 and older,351697.0,353200.0,409721,458281,492688,507827,515282,530804
10-County Region,Population by Age,Population Ages 65 and older,312085.0,313570.0,365425,410514,443520,458806,467085,483627
Delaware,Population by Age,Population Ages 65 and older,31652.0,32363.0,41399,51830,62263,70999,78056,85365
Fairfield,Population by Age,Population Ages 65 and older,26267.0,26549.0,29923,33389,35360,36021,36084,36588
Fayette,Population by Age,Population Ages 65 and older,5349.0,5358.0,5803,6229,6414,6459,6410,6371
Franklin,Population by Age,Population Ages 65 and older,167805.0,167472.0,194235,213954,226281,229776,231428,239292
Hocking,Population by Age,Population Ages 65 and older,5583.0,5600.0,6166,6600,6758,6734,6541,6302
Knox,Population by Age,Population Ages 65 and older,11852.0,11874.0,13486,14535,14983,14759,14299,13956
Licking,Population by Age,Population Ages 65 and older,30747.0,31043.0,35849,40110,43686,44072,43053,43083
Logan,Population by Age,Population Ages 65 and older,8826.0,8818.0,9797,10634,10912,10959,10865,10717
Madison,Population by Age,Population Ages 65 and older,7161.0,7252.0,8561,9946,10957,11654,11941,12267
Marion,Population by Age,Population Ages 65 and older,12173.0,12185.0,13390,14048,14016,13488,12749,12197
Morrow,Population by Age,Population Ages 65 and older,6478.0,6516.0,7780,8772,9556,10047,10295,10476
Perry,Population by Age,Population Ages 65 and older,6226.0,6244.0,7340,8061,8545,8585,8510,8468
Pickaway,Population by Age,Population Ages 65 and older,9641.0,9757.0,11171,12567,13797,14623,15228,15715
Ross,Population by Age,Population Ages 65 and older,13628.0,13610.0,15190,16243,16539,16284,15871,15319
Union,Population by Age,Population Ages 65 and older,8309.0,8559.0,9631,11363,12621,13367,13952,14688
15-County Region,Population by Age,Population Ages under 18,562305.0,565353.0,587627,610020,637790,661930,679917,699676
10-County Region,Population by Age,Population Ages under 18,515225.0,518295.0,540968,564067,591919,616110,633921,653476
Delaware,Population by Age,Population Ages under 18,53873.0,55925.0,57994,62696,68656,74833,80560,85900
Fairfield,Population by Age,Population Ages under 18,37515.0,37917.0,39948,42517,45382,47721,49781,51782
Fayette,Population by Age,Population Ages under 18,6614.0,6600.0,6617,6510,6617,6856,7091,7290
Franklin,Population by Age,Population Ages under 18,309822.0,309238.0,324853,336050,348291,359622,366527,375575
Hocking,Population by Age,Population Ages under 18,5996.0,6016.0,5896,5871,5798,5758,5674,5611
Knox,Population by Age,Population Ages under 18,14942.0,14975.0,15282,15553,16138,16567,16856,17132
Licking,Population by Age,Population Ages under 18,41136.0,41533.0,43793,45865,49473,51486,52211,52940
Logan,Population by Age,Population Ages under 18,10341.0,10334.0,10139,10008,10026,10017,9940,9832
Madison,Population by Age,Population Ages under 18,8858.0,8970.0,8999,9104,9399,9511,9886,10300
Marion,Population by Age,Population Ages under 18,13771.0,13785.0,13780,13631,13169,12846,12951,13179
Morrow,Population by Age,Population Ages under 18,7666.0,7707.0,7443,7509,7845,7991,8011,7952
Perry,Population by Age,Population Ages under 18,8095.0,8095.0,8339,8346,8415,8520,8595,8700
Pickaway,Population by Age,Population Ages under 18,12500.0,12649.0,12793,13147,13574,13898,14492,15181
Ross,Population by Age,Population Ages under 18,16034.0,16013.0,15668,15218,15015,14669,14696,14767
Union,Population by Age,Population Ages under 18,15142.0,15596.0,16083,17995,19992,21635,22646,23535
15-County Region,Population in Households and Group Quarters,Group Quarters Population,68815.0,69119.0,71968,74909,78522,81365,83824,86283
10-County Region,Population in Households and Group Quarters,Group Quarters Population,61319.0,61630.0,64485,67442,71066,73927,76412,78894
Delaware,Population in Households and Group Quarters,Group Quarters Population,2638.0,2707.0,3030,3403,3813,4182,4530,4878
Fairfield,Population in Households and Group Quarters,Group Quarters Population,3038.0,3071.0,3225,3402,3600,3773,3935,4097
Fayette,Population in Households and Group Quarters,Group Quarters Population,321.0,320.0,326,333,339,346,352,359
Franklin,Population in Households and Group Quarters,Group Quarters Population,28794.0,28737.0,30231,31470,33052,34242,35236,36229
Hocking,Population in Households and Group Quarters,Group Quarters Population,472.0,473.0,471,468,466,462,458,454
Knox,Population in Households and Group Quarters,Group Quarters Population,3737.0,3745.0,3820,3890,3990,4056,4106,4155
Licking,Population in Households and Group Quarters,Group Quarters Population,3959.0,3998.0,4231,4448,4808,5004,5119,5234
Logan,Population in Households and Group Quarters,Group Quarters Population,489.0,489.0,489,493,496,500,502,505
Madison,Population in Households and Group Quarters,Group Quarters Population,5199.0,5265.0,5515,5793,6099,6373,6632,6890
Marion,Population in Households and Group Quarters,Group Quarters Population,5682.0,5676.0,5678,5664,5672,5656,5627,5599
Morrow,Population in Households and Group Quarters,Group Quarters Population,274.0,275.0,285,295,308,317,324,332
Perry,Population in Households and Group Quarters,Group Quarters Population,338.0,338.0,351,357,364,369,373,377
Pickaway,Population in Households and Group Quarters,Group Quarters Population,4582.0,4637.0,4874,5150,5449,5722,5983,6243
Ross,Population in Households and Group Quarters,Group Quarters Population,5876.0,5869.0,5846,5816,5791,5761,5727,5694
Union,Population in Households and Group Quarters,Group Quarters Population,3416.0,3519.0,3596,3927,4275,4602,4920,5237
15-County Region,Population in Households and Group Quarters,Household Population,2352344.0,2361918.0,2483347,2602017,2748658,2863334,2962030,3060728
10-County Region,Population in Households and Group Quarters,Household Population,2144413.0,2154018.0,2273902,2391685,2537081,2650926,2748985,2847049
Delaware,Population in Households and Group Quarters,Household Population,212424.0,218033.0,243986,274081,307050,336735,364777,392819
Fairfield,Population in Households and Group Quarters,Household Population,156319.0,157993.0,165958,175047,185220,194155,202469,210783
Fayette,Population in Households and Group Quarters,Household Population,28618.0,28586.0,29093,29678,30295,30874,31438,32001
Franklin,Population in Households and Group Quarters,Household Population,1295219.0,1292677.0,1359896,1415620,1486792,1540309,1584996,1629685
Hocking,Population in Households and Group Quarters,Household Population,27527.0,27624.0,27494,27294,27163,26966,26732,26499
Knox,Population in Households and Group Quarters,Household Population,59028.0,59152.0,60337,61449,63023,64069,64851,65635
Licking,Population in Households and Group Quarters,Household Population,174721.0,176403.0,186684,196262,212154,220829,225898,230968
Logan,Population in Households and Group Quarters,Household Population,45576.0,45546.0,45606,45914,46267,46558,46833,47106
Madison,Population in Households and Group Quarters,Household Population,38624.0,39121.0,40972,43040,45313,47353,49273,51194
Marion,Population in Households and Group Quarters,Household Population,59681.0,59615.0,59636,59496,59574,59403,59105,58806
