Unnamed: 0,Unnamed: 1,County Growth Projections Households and Housing Units,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
Perry,15110,15119,15716,15953.0,16258.0,16485.0,16672.0,16860.0,,,,0.8603573792190602,0.8603743633838217,0.860333418172563,0.8603397480097787,0.8603764300651987,0.8603579011222323,0.8603646833013435,0.860379596678529
Pickaway,21766,22028,23149,24463.0,25883.0,27180.0,28418.0,29655.0,,,,0.9196453183864743,0.9196477210822589,0.9196509568447881,0.9196337325757266,0.9196383726770467,0.9196467991169978,0.9196284045323386,0.9196425560613725
Ross,32129,32090,31964,31804.0,31666.0,31501.0,31318.0,31135.0,,,,0.9070621556848952,0.9070426924275475,0.9070516831435365,0.9070557162621053,0.9070612012884481,0.9070505698231802,0.9070502586372055,0.9070499437931588
Union,23782,24495,25037,27336.0,29760.0,32040.0,34250.0,36460.0,,,,0.9502564965099655,0.9502755664421311,0.9502735950792827,0.9502853380158033,0.9502688172043011,0.9502808988764045,0.9502773722627738,0.9502742731760834
Total,1008167,1011753,1062364,1111283.0,1172037.0,1219260.0,1259720.0,1300181.0,,,,0.9207036135878283,0.9207860021171175,0.9212473314231281,0.921745405985694,0.9222217387335041,0.9226366812656858,0.9230130505191629,0.9233668235422606
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,"Average Household Size is assumed as a fixed value, by county.",,,,,,,,,,,,,,,,,,
2,"Occupancy rate is assumed as a fixed value, by county. ",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,"Updated July 25, 2023",,,,,,,,,,,,,,,,,,
