Marion,Historic population,67974.0,64289.0,66135.0,66458.0,65363.0,65291,,,,,,
Marion,Forecasted population,,,,,,65291,65314.0,65160.0,65246.0,65059.0,64732.0,64405.0
Marion,Confidence limit,,,,,,65291,66329.0,66651.0,66806.0,66879.0,66903.0,66892.0
Marion,Confidence limit,,,,,,65291,63731.0,62754.0,61945.0,61217.0,60539.0,59896.0
Morrow,Historic population,26480.0,27784.0,31813.0,34790.0,34964.0,35151,,,,,,
Morrow,Forecasted population,,,,,,35151,36425.0,37666.0,39338.0,40519.0,41454.0,42389.0
Morrow,Confidence limit,,,,,,35151,37323.0,41222.0,46050.0,51621.0,57832.0,64613.0
Morrow,Confidence limit,,,,,,35151,34476.0,32447.0,29489.0,25788.0,21447.0,16536.0
Perry,Historic population,31032.0,31596.0,34099.0,36037.0,35439.0,35460,,,,,,
Perry,Forecasted population,,,,,,35460,36859.0,37415.0,38131.0,38662.0,39102.0,39542.0
Perry,Confidence limit,,,,,,35460,38560.0,41469.0,44979.0,48989.0,53437.0,58278.0
Perry,Confidence limit,,,,,,35460,34761.0,32732.0,30102.0,26972.0,23404.0,19442.0
Pickaway,Historic population,43662.0,48257.0,52808.0,55740.0,58628.0,59333,,,,,,
Pickaway,Forecasted population,,,,,,59333,62355.0,65891.0,69716.0,73212.0,76545.0,79877.0
Pickaway,Confidence limit,,,,,,59333,66029.0,77450.0,91360.0,107272.0,124906.0,144076.0
Pickaway,Confidence limit,,,,,,59333,58005.0,53249.0,46004.0,36758.0,25789.0,13285.0
Ross,Historic population,65004.0,69401.0,73507.0,78098.0,76985.0,76891,,,,,,
Ross,Forecasted population,,,,,,76891,76590.0,76204.0,75876.0,75478.0,75040.0,74602.0
Ross,Confidence limit,,,,,,76891,79695.0,85847.0,94070.0,103952.0,115258.0,127833.0
Ross,Confidence limit,,,,,,76891,73390.0,66369.0,57266.0,46512.0,34330.0,20880.0
Union,Historic population,29536.0,32010.0,41338.0,52464.0,63077.0,64971,,,,,,
Union,Forecasted population,,,,,,64971,66408.0,72505.0,78933.0,84983.0,90844.0,96705.0
Union,Confidence limit,,,,,,64971,69664.0,80350.0,92220.0,105075.0,118792.0,133284.0
Union,Confidence limit,,,,,,64971,62368.0,63404.0,63255.0,62122.0,60127.0,57356.0
Total,Historic population,1571547.0,1719508.0,1950805.0,2186769.0,2421159.0,2431037,,,,,,
Total,Forecasted population,,,,,,2431037,2555315.0,2676926.0,2827180.0,2944699.0,3045854.0,3147011.0
Total,Confidence limit,,,,,,2431037,2597188.0,2816613.0,3068141.0,3345949.0,3646586.0,3967683.0
Total,Confidence limit,,,,,,2431037,2445231.0,2428110.0,2378893.0,2303397.0,2205068.0,2086279.0
