Unnamed: 0,Unnamed: 1,County Growth Projections Jobs,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
COUNTY,2020,2021,2025,2030.0,2035.0,2040.0,2045.0,2050.0,,,2020,2021.0,2025.0,2030.0,2035.0,2040.0,2045.0,2050.0
Delaware,45294,46527,51459,57034.0,63032.0,68700.0,74231.0,80036.0,,,0.4245145085101597,0.4245164233576642,0.42451616096619316,0.43056876689163687,0.4245236635977289,0.424527427437943,0.42452646749325157,0.4245243487808371
Fairfield,14629,14739,15180,15755.0,16588.0,17484.0,18392.0,19264.0,,,0.28400861985284126,0.28400485577200996,0.28399311531841653,0.28563399688168534,0.28399732917872245,0.28401559454191033,0.2840068561898732,0.28400831502749563
Fayette,2972,2979,3009,3064.0,3111.0,3159.0,3219.0,3289.0,,,0.2313200498132005,0.23127086406334912,0.2312658519714088,0.23168241965973535,0.23133551457465795,0.23130995094090942,0.23131647025007185,0.23131021872142907
Franklin,374910,377203,386374,398536.0,417998.0,435172.0,449857.0,462543.0,,,0.4549409344909809,0.4549416010150472,0.4549424748699194,0.4562617847440299,0.45494251697607624,0.454941482104867,0.45494234553842855,0.4549431742737569
Hocking,2109,2097,2049,1991.0,1964.0,1951.0,1948.0,1938.0,,,0.2714984552008239,0.2714563106796116,0.27160657476139977,0.2705163043478261,0.2715332503802019,0.27165135059871903,0.27164970018128576,0.2714665919596582
Knox,5707,5699,5665,5649.0,5749.0,5876.0,6023.0,6154.0,,,0.2425620537232234,0.2425828970331588,0.24263320198732224,0.24254003692413378,0.24260454909904208,0.2426294491700388,0.242628101836932,0.2426082157218324
Licking,23241,23947,26769,28496.0,31029.0,32376.0,33407.0,34314.0,,,0.3296361960144671,0.32890616415778484,0.3263994732542402,0.3265006817374566,0.3253095415325582,0.32548179871520344,0.32560746206103375,0.3257081023616068
Logan,5201,5183,5109,5071.0,5077.0,5128.0,5214.0,5294.0,,,0.24352671255326122,0.243550585028899,0.2435756853396901,0.24341189459031345,0.24355960662029263,0.24359887891311577,0.24356518895688326,0.24355907250644093
Madison,5037,5081,5260,5444.0,5684.0,5938.0,6180.0,6431.0,,,0.25865256239088014,0.25862771047541483,0.2586927654551714,0.2592874833301581,0.258645795413178,0.25871383757406763,0.258631512868801,0.2586678465127504
Marion,7759,7715,7543,7473.0,7572.0,7652.0,7651.0,7605.0,,,0.2893529740816707,0.2893305831614476,0.28932530397759965,0.28914683691236215,0.28934999426802704,0.28934432428344553,0.28930651138168345,0.2893065013124358
Morrow,1943,1946,1958,1967.0,2014.0,2067.0,2127.0,2196.0,,,0.25948183760683763,0.25950126683557806,0.2595096090125911,0.25963569165786693,0.2595360824742268,0.25951035781544257,0.2595485051860891,0.2596051542735548
Perry,2328,2331,2346,2332.0,2350.0,2380.0,2418.0,2460.0,,,0.3255944055944056,0.32560413465567817,0.3258333333333333,0.3256073722423904,0.32575547546437483,0.32575964960306597,0.3257443082311734,0.3258278145695364
Pickaway,5248,5303,5521,5792.0,6122.0,6456.0,6764.0,7046.0,,,0.3280615115334125,0.32805443860191774,0.3281231427552597,0.3293903548680619,0.32808145766345126,0.32809879554810184,0.3280946837407839,0.3281177237589643
Ross,10037,9988,9794,9623.0,9552.0,9545.0,9540.0,9531.0,,,0.32172965349232296,0.32172652601062973,0.3218005585674388,0.3212485394758805,0.3217461600646726,0.3217379580004719,0.3217537942664418,0.3217541016811829
Union,12670,12732,12976,13823.0,14883.0,16116.0,17468.0,18792.0,,,0.3295960042662782,0.3296140005695498,0.3296245491032871,0.3312881965248652,0.3296272507807136,0.3296109952141367,0.32962844149227255,0.3296263813366076
Total,519085,523470,541012,562050.0,592725.0,620000.0,644439.0,666893.0,,,0.41038994100523535,0.41036676426664787,0.410287133953882,0.41208126516756727,0.41078644926235514,0.4110266517636358,0.41110647549203483,0.4111190087668088
,,,,,,,,,,,,,,,,,,
"Industrial Jobs Jobs related to industrial industries and/or land uses (e.g. warehousing, manufacturing)",,,,,,,,,,,,,,,,,,
,Estimate,Estimate,Projections,,,,,,,,Share of Total Jobs,,,,,,,
,2020,2021,2025,2030.0,2035.0,2040.0,2045.0,2050.0,,,2020,2021.0,2025.0,2030.0,2035.0,2040.0,2045.0,2050.0
Delaware,17983,18473,20432,22644.0,25026.0,27276.0,29472.0,31778.0,,,0.1685442753242858,0.1685492700729927,0.16855582504248545,0.17094713955700502,0.1685513581228069,0.1685503655137894,0.1685501212426225,0.16855583431902446
Fairfield,11631,11719,12071,12527.0,13191.0,13902.0,14625.0,15317.0,,,0.2258051990914209,0.22581266739888625,0.22582878096235875,0.22711120780303853,0.22583848379530552,0.22582846003898635,0.2258373353510709,0.22581786551475033
Fayette,4383,4394,4439,4520.0,4588.0,4659.0,4747.0,4851.0,,,0.3411425902864259,0.3411225836503377,0.3411728537391438,0.3417769376181474,0.3411659726353361,0.3411437358131361,0.3411181373958034,0.3411632322948168
Franklin,152138,153068,156790,161726.0,169623.0,176594.0,182552.0,187699.0,,,0.18461445117918662,0.1846141228573772,0.1846149860882323,0.18515113665895422,0.1846150329834903,0.18461651046213196,0.1846156335518425,0.18461500631943387
Hocking,1851,1841,1799,1748.0,1724.0,1712.0,1710.0,1702.0,,,0.23828527291452112,0.23831715210355986,0.2384676564156946,0.2375,0.2383519977879165,0.23837371205792257,0.23846046576488636,0.2384087407199888
Knox,7521,7510,7465,7445.0,7576.0,7741.0,7935.0,8109.0,,,0.319661679700782,0.3196696888434853,0.31972759979441495,0.31965136748100126,0.3197029159809259,0.3196382855727145,0.31965033838221074,0.3196798864621935
Licking,18071,19461,25018,27761.0,30664.0,31712.0,32515.0,33220.0,,,0.256308063257925,0.267292055818042,0.3050491995171497,0.3180792190382346,0.32148286382269375,0.3188064863125936,0.31691342020877394,0.3153238666565419
Logan,8351,8321,8202,8140.0,8151.0,8231.0,8370.0,8499.0,,,0.3910193379219928,0.39100606174521874,0.39103694874851014,0.39072625162002594,0.39102902374670184,0.3910028027172106,0.39099360022422575,0.3910103054839897
Madison,9127,9208,9531,9865.0,10301.0,10758.0,11201.0,11654.0,,,0.4686761836294547,0.46869591774407005,0.46874538926867654,0.46985140026671746,0.4687386239534037,0.46871732310909725,0.46875915463486084,0.46874748612340117
Marion,8908,8858,8662,8579.0,8694.0,8786.0,8787.0,8732.0,,,0.33220212567592766,0.3321957622351397,0.3322465574776572,0.3319404140065777,0.332225151897283,0.33222415488164564,0.3322619677834077,0.3321794042682695
Morrow,1939,1942,1955,1963.0,2010.0,2064.0,2123.0,2192.0,,,0.2589476495726496,0.25896786238165087,0.2591119946984758,0.25910770855332627,0.25902061855670105,0.2591337099811676,0.25906040268456376,0.25913228514008746
Perry,1822,1825,1835,1825.0,1838.0,1862.0,1893.0,1924.0,,,0.2548251748251748,0.2549238720491689,0.2548611111111111,0.25481709019826865,0.2547823676185195,0.25485901998357513,0.2550181867169608,0.2548344370860927
Pickaway,4949,5001,5206,5461.0,5774.0,6089.0,6379.0,6645.0,,,0.3093705069700569,0.3093721002165172,0.30940211577320814,0.31056642402183804,0.3094319399785638,0.3094475783910149,0.3094198680636399,0.30944397876501817
Ross,7829,7791,7639,7507.0,7451.0,7446.0,7442.0,7434.0,,,0.25095361733500016,0.25095828635851186,0.2509939214719895,0.2506092472041395,0.2509768256534627,0.25098594397815754,0.25099494097807756,0.25096212274660723
Union,14970,15043,15331,16334.0,17584.0,19042.0,20637.0,22203.0,,,0.3894279545277178,0.389442617857975,0.3894477467865671,0.39146794487717196,0.38944873867688423,0.38945473882275944,0.38942879248202594,0.3894579898263463
Total,271473,274455,286375,298045.0,314195.0,327874.0,340388.0,351959.0,,,0.21462725460091173,0.2151550428616785,0.2171781365035211,0.21851927884862127,0.21775199025852743,0.217362826484436,0.21714345497367904,0.21697189085289134
,,,,,,,,,,,,,,,,,,
"Retail Goods Jobs Jobs related to retail goods industries and/or land uses (e.g. grocery stores, clothing stores, hardware stores)",,,,,,,,,,,,,,,,,,
,Estimate,Estimate,Projections,,,,,,,,Share of Total Jobs,,,,,,,
COUNTY,2020,2021,2025,2030.0,2035.0,2040.0,2045.0,2050.0,,,2020,2021.0,2025.0,2030.0,2035.0,2040.0,2045.0,2050.0
Delaware,14066,14449,15980,17710.0,19573.0,21332.0,23050.0,24853.0,,,0.13183249606358252,0.13183394160583942,0.13182860631259383,0.13369872114266734,0.13182513116509628,0.13181978285452983,0.13182275701148374,0.1318244744896065
Fairfield,7878,7937,8174,8483.0,8932.0,9414.0,9903.0,10373.0,,,0.15294414568327866,0.1529375493766499,0.152922247998204,0.15379455382718735,0.15292163878854287,0.15292397660818713,0.15292082953720718,0.15292868831915551
Fayette,2435,2442,2467,2512.0,2550.0,2589.0,2638.0,2695.0,,,0.18952366127023662,0.18958155422715628,0.18960879256014143,0.18994328922495274,0.1896192742415229,0.18957311268946328,0.1895659672319632,0.189535129052676
Franklin,66029,66432,68046,70188.0,73616.0,76641.0,79227.0,81461.0,,,0.08012401633326659,0.08012311789310164,0.08012189134102847,0.08035435229844724,0.08012250855198069,0.08012273337898373,0.08012261054062308,0.08012255275620755
Hocking,1109,1103,1076,1045.0,1032.0,1025.0,1023.0,1019.0,,,0.14276519052523173,0.1427831715210356,0.14262990455991517,0.14198369565217392,0.14267938614682704,0.1427179058758006,0.14265792776460745,0.14273707802213195
Knox,2530,2526,2509,2504.0,2547.0,2603.0,2669.0,2727.0,,,0.10753145188711323,0.10752138935001916,0.10746102449888642,0.10750933837104461,0.10748195974173946,0.1074820381534396,0.10751691911053819,0.10750611054166995
Licking,8843,8900,9128,9434.0,10163.0,10676.0,11068.0,11413.0,,,0.12542372881355932,0.12223931436105923,0.11129942813944131,0.10809262463191906,0.1065493851105543,0.10732776387087693,0.10787629509059543,0.1083320677348318
Logan,2359,2351,2316,2299.0,2301.0,2325.0,2364.0,2400.0,,,0.11045558833169453,0.11047413185470607,0.11041716328963051,0.11035376566025057,0.11038618373710722,0.11044605956961664,0.11043116737515767,0.1104158998895841
Madison,1679,1694,1753,1814.0,1895.0,1978.0,2059.0,2143.0,,,0.08621752079696005,0.08622620380739082,0.08621452810701814,0.08639740903029149,0.08623043319985439,0.08617985360752875,0.08616865453023645,0.08619580082052933
Marion,3067,3050,2983,2954.0,2993.0,3025.0,3025.0,3007.0,,,0.11437628193175461,0.11438214888430527,0.11441831920524721,0.114296769201006,0.11437196683098322,0.11438402783029569,0.11438402783029569,0.11439114391143912
Morrow,1367,1369,1377,1385.0,1416.0,1454.0,1496.0,1544.0,,,0.18255876068376067,0.18255767435658088,0.18250497017892645,0.1828141499472017,0.1824742268041237,0.18254865034526052,0.1825503355704698,0.1825274855183828
Perry,793,794,799,793.0,800.0,810.0,823.0,837.0,,,0.11090909090909092,0.11090934488056992,0.11097222222222222,0.11072326165875454,0.11089548100914888,0.11086777990692581,0.11087161524989897,0.11086092715231788
Pickaway,1746,1764,1835,1925.0,2035.0,2146.0,2248.0,2342.0,,,0.10914546477464525,0.10912465202598207,0.10905741114941163,0.10947452229299363,0.10905680600214362,0.10906134065152208,0.10904152114862242,0.10906212163546615
Ross,4093,4073,3991,3923.0,3894.0,3891.0,3889.0,3885.0,,,0.13119851267750104,0.13119665002415848,0.13113192048628225,0.13096311133366717,0.13116410670978174,0.13115582970977854,0.1311635750421585,0.1311525217743569
Union,3338,3354,3418,3641.0,3919.0,4244.0,4600.0,4948.0,,,0.08683436955334148,0.08683045538095115,0.08682619519382208,0.08726183343319353,0.08679763460388475,0.0868000163619258,0.08680391749853754,0.08679179091387476
Total,121332,122238,125852,130610.0,137666.0,144153.0,150082.0,155647.0,,,0.09592539241559131,0.09582671887677709,0.09544234949014802,0.09576004633668883,0.0954090469005886,0.09556568537368289,0.09574169479934574,0.09595158497319284
,,,,,,,,,,,,,,,,,,
"Retail Service Jobs Jobs related to retail services industries and/or land uses (e.g. restaurants, dry cleaners)",,,,,,,,,,,,,,,,,,
,Estimate,Estimate,Projections,,,,,,,,Share of Total Jobs,,,,,,,
COUNTY,2020,2021,2025,2030.0,2035.0,2040.0,2045.0,2050.0,,,2020,2021.0,2025.0,2030.0,2035.0,2040.0,2045.0,2050.0
Delaware,17518,17995,19903,20174.0,24379.0,26571.0,28710.0,30955.0,,,0.16418609882282373,0.16418795620437956,0.16419178669834514,0.15230028234512538,0.16419378085494724,0.1641938613457581,0.16419224962254655,0.16419050447936945
Fairfield,9043,9111,9385,9424.0,10255.0,10808.0,11370.0,11909.0,,,0.17556155235007476,0.17555928088328804,0.17557808875252562,0.17085463577359586,0.17557225770001197,0.1755685510071475,0.17557405148319152,0.17557386958380633
Fayette,1337,1340,1353,1355.0,1398.0,1421.0,1447.0,1479.0,,,0.10406288916562889,0.10402919028025774,0.10398893244178004,0.10245746691871456,0.10395597858417609,0.10404920553562276,0.10398102903133084,0.10401575356916802
Franklin,87361,87895,90031,90332.0,97399.0,101401.0,104823.0,107779.0,,,0.10600969560178865,0.10600947506042523,0.10600849424395459,0.1034161017812637,0.10600755556474636,0.10600755845255581,0.10600795694270557,0.10600813411953319
Hocking,1289,1282,1251,1247.0,1200.0,1191.0,1189.0,1185.0,,,0.1659371781668383,0.1659546925566343,0.1658271474019088,0.16942934782608696,0.1659062629614268,0.1658312447786132,0.16580672151722214,0.16598963440257739
Knox,2394,2390,2374,2373.0,2410.0,2464.0,2525.0,2580.0,,,0.10175110506630398,0.10173243093687481,0.10167894466335446,0.10188484822463613,0.10170063721146137,0.10174250557436618,0.10171608121173058,0.10171095166758654
Licking,9341,9423,9752,9867.0,10905.0,11447.0,11861.0,12225.0,,,0.13248705765548544,0.12942259092407427,0.11890797800348725,0.11305384007241312,0.1143285491125253,0.11507876667571453,0.11560541525745865,0.11603956260915788
Logan,2383,2374,2340,2338.0,2325.0,2347.0,2388.0,2424.0,,,0.11157934166783724,0.11155490813401626,0.11156138259833134,0.1122257956127298,0.11153753897817223,0.11149114056339367,0.11155229597795113,0.11152005888847995
Madison,1644,1659,1716,1726.0,1855.0,1937.0,2017.0,2098.0,,,0.0844202526445517,0.08444467067087448,0.08439482614469089,0.08220613450180987,0.08441026574444849,0.0843935169048449,0.08441096463695334,0.08438580966937495
Marion,2573,2559,2500,2498.0,2510.0,2537.0,2537.0,2523.0,,,0.09595375722543352,0.09596849803112695,0.09589198726554408,0.09665312439543432,0.09591501394780083,0.09593133177040006,0.09593133177040006,0.09597900102712367
Morrow,1009,1011,1017,1018.0,1046.0,1073.0,1104.0,1139.0,,,0.13474893162393162,0.13481797573009735,0.13479125248508947,0.13437170010559663,0.13479381443298968,0.1347143753923415,0.1347162904209884,0.13464948575481736
Perry,879,880,884,883.0,886.0,897.0,911.0,927.0,,,0.12293706293706294,0.12292219583740746,0.12277777777777778,0.12328958391510751,0.12281674521763238,0.12277580071174377,0.12272666037990031,0.12278145695364238
Pickaway,1500,1516,1577,1587.0,1748.0,1844.0,1932.0,2012.0,,,0.09376758142151653,0.09378286421280545,0.09372399857363604,0.09025250227479527,0.09367631296891747,0.09371347258220257,0.09371362048894064,0.0936947005681289
Ross,3033,3018,2958,2953.0,2886.0,2883.0,2882.0,2880.0,,,0.09722088662371382,0.09721372201642776,0.09719073435189748,0.0985812051410449,0.09721099434114794,0.09717868338557993,0.09720067453625632,0.0972250354466275
Union,3483,3499,3565,3584.0,4090.0,4429.0,4800.0,5164.0,,,0.09060638380895399,0.09058430631423615,0.09056038205558095,0.08589574595566207,0.09058492613674116,0.09058371170286743,0.09057800086803917,0.09058059989475531
Total,144787,145952,150606,151359.0,165292.0,173250.0,180496.0,187279.0,,,0.11446897596410031,0.11441696750195005,0.11421503422522672,0.11097270387776499,0.11455517106832545,0.11485543131943533,0.1151436744213344,0.1154517393987329
,,,,,,,,,,,,,,,,,,
"Other Jobs Jobs related to other industries and/or land uses (e.g. hospitals, schools and universities, agriculture)",,,,,,,,,,,,,,,,,,
,Estimate,Estimate,Projections,,,,,,,,Share of Total Jobs,,,,,,,
COUNTY,2020,2021,2025,2030.0,2035.0,2040.0,2045.0,2050.0,,,2020,2021.0,2025.0,2030.0,2035.0,2040.0,2045.0,2050.0
Delaware,11835,12156,13444,14900.0,16467.0,17948.0,19393.0,20909.0,,,0.11092262127914823,0.11091240875912409,0.11090762098038245,0.1124850900635654,0.11090606625942065,0.11090856284797963,0.11090840463009562,0.11090483793116251
Fairfield,8328,8391,8642,8969.0,9443.0,9952.0,10469.0,10966.0,,,0.16168048302238444,0.16168564656916584,0.1616777669684951,0.16260560571449292,0.1616702905374172,0.1616634178037687,0.16166092743865718,0.1616712615547922
Fayette,1721,1726,1743,1774.0,1801.0,1829.0,1865.0,1905.0,,,0.1339508094645081,0.13399580777889916,0.13396356928752595,0.1341398865784499,0.13392325996430696,0.1339239950208684,0.1340183960908307,0.13397566636191013
Franklin,143647,144526,148040,152699.0,160157.0,166737.0,172363.0,177223.0,,,0.17431090239477723,0.17431168317404874,0.17431215345686527,0.1748166245173049,0.17431238592370643,0.1743117156014615,0.1743114534264003,0.1743111325310685
Hocking,1410,1402,1369,1329.0,1313.0,1303.0,1301.0,1295.0,,,0.18151390319258495,0.18148867313915856,0.18146871686108165,0.18057065217391305,0.18152910272362782,0.18142578668894457,0.18142518477199832,0.18139795489564364
Knox,5376,5368,5335,5320.0,5415.0,5534.0,5672.0,5796.0,,,0.22849370962257737,0.22849359383646192,0.22849922905602194,0.22841440899918422,0.22850993796683125,0.2285077215294409,0.22848855945858845,0.22849483560671766
Licking,11009,11077,11346,11719.0,12622.0,13260.0,13748.0,14180.0,,,0.15614495425856323,0.15213987473903967,0.13834392108568153,0.13427363451997662,0.13232966042166844,0.13330518442561148,0.13399740738213822,0.13459640063786166
Logan,3063,3052,3008,2985.0,2991.0,3020.0,3071.0,3119.0,,,0.14341901952521421,0.14341431323715992,0.1434088200238379,0.14328229251668026,0.14348764691772609,0.14346111823666335,0.14345774746578221,0.14349466323150534
Madison,1987,2004,2073,2147.0,2241.0,2341.0,2438.0,2536.0,,,0.10203348053815343,0.10200549730224982,0.10195249102444302,0.10225757287102305,0.1019748816891154,0.10199546880446149,0.10202971332914836,0.10200305687394418
Marion,4508,4483,4383,4341.0,4400.0,4446.0,4446.0,4420.0,,,0.1681148610852135,0.1681230076879805,0.1681178320739519,0.16796285548461984,0.16813787305590586,0.1681161612342131,0.1681161612342131,0.1681439494807319
Morrow,1230,1231,1238,1243.0,1274.0,1307.0,1345.0,1388.0,,,0.1642628205128205,0.1641552206960928,0.16408217362491717,0.16407074973600844,0.16417525773195876,0.16409290646578784,0.16412446613788895,0.1640855893131576
Perry,1328,1329,1336,1329.0,1340.0,1357.0,1378.0,1402.0,,,0.18573426573426574,0.1856404525771756,0.18555555555555556,0.18556269198547892,0.18574993069032436,0.1857377497946893,0.18563922942206654,0.1856953642384106
Pickaway,2554,2581,2687,2819.0,2981.0,3142.0,3293.0,3429.0,,,0.1596549353003688,0.1596659449427776,0.1596933317484845,0.1603161965423112,0.1597534833869239,0.15967881282715862,0.15973030655801318,0.15968147527242246
Ross,6205,6175,6053,5949.0,5905.0,5902.0,5897.0,5892.0,,,0.198897329871462,0.19890481559027218,0.19888286512239198,0.1985978968452679,0.19890191323093506,0.19894158492601208,0.19888701517706578,0.19890621835122543
Union,3980,3999,4076,4343.0,4675.0,5063.0,5488.0,5903.0,,,0.10353528784370854,0.10352861987728791,0.10354112686074278,0.10408627920910725,0.10354144980177626,0.10355053789831063,0.1035608476591248,0.10354323802841607
Total,208181,209500,214773,221866.0,233025.0,243141.0,252167.0,260363.0,,,0.16458843601416126,0.16423450649294655,0.16287734582722213,0.16266670576935766,0.1614973425102034,0.16118940505880996,0.160864700313606,0.16050577600837412
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,"Updated July 25, 2023",,,,,,,,,,,,,,,,,
